	pval	adjpval	beta	ci_low	ci_high	symbol
ENSG00000189058	1.4498911765607983e-40	7.249455882803991e-38	0.1469005848299573	0.12530918258539842	0.16849198707451618	APOD
ENSG00000197766	8.623153671808902e-36	2.1557884179522255e-33	0.1353485575617662	0.11410680330448408	0.1565903118190483	CFD
ENSG00000160862	7.364061891983213e-31	1.2273436486638689e-28	0.12746384280994671	0.10583440492473765	0.14909328069515576	AZGP1
ENSG00000132465	4.66735345367024e-25	5.834191817087799e-23	0.11574623818216628	0.09380538877675706	0.1376870875875755	JCHAIN
ENSG00000161055	7.714158929308439e-19	7.714158929308438e-17	0.13810507400523228	0.1075682203483195	0.16864192766214506	SCGB3A1
ENSG00000173432	1.679583216774708e-17	1.3996526806455898e-15	0.08277188892223876	0.06371751657022871	0.1018262612742488	SAA1
ENSG00000134339	2.444652833969862e-17	1.7461805956927585e-15	0.08815639387742563	0.06775800460909895	0.10855478314575231	SAA2
ENSG00000108518	5.8501229639111635e-12	3.656326852444477e-10	-0.05803932487728845	-0.07456566729314751	-0.0415129824614294	PFN1
ENSG00000011465	2.1419120351513828e-11	1.1899511306396572e-09	0.09651634881885099	0.06826539828735763	0.12476729935034435	DCN
ENSG00000269028	1.8875762085587127e-09	9.437881042793563e-08	0.053468090442262146	0.036023095015437614	0.07091308586908668	MTRNR2L2
ENSG00000115414	4.0929706235039686e-09	1.860441192501804e-07	-0.11666272134893112	-0.1555469911352872	-0.07777845156257504	FN1
ENSG00000102265	5.1083829952512006e-08	2.1284929146880003e-06	-0.05322863579287989	-0.07237985808793895	-0.034077413497820834	TIMP1
ENSG00000100985	6.979356607884657e-08	2.6843679261094837e-06	-0.06390999789279785	-0.08714223540958822	-0.04067776037600747	MMP9
ENSG00000034510	1.8726319947919317e-07	6.687971409971184e-06	-0.04065877921363376	-0.05594974825289831	-0.025367810174369215	TMSB10
ENSG00000108639	7.160710200089614e-07	2.3869034000298716e-05	-0.05095564937693421	-0.07110335449147492	-0.030807944262393496	SYNGR2
ENSG00000165949	9.871737610639883e-07	3.0849180033249636e-05	-0.04771628588986141	-0.06682515331971237	-0.028607418460010463	IFI27
ENSG00000277791	1.103371509950761e-06	3.245210323384591e-05	-0.05327102511486416	-0.07470042531335719	-0.031841624916371124	PSMB3
ENSG00000165215	2.306446624219044e-06	6.406796178386235e-05	-0.04856174204205341	-0.06870749267349716	-0.028415991410609666	CLDN3
ENSG00000169442	4.111823916434572e-06	0.0001082058925377519	-0.04944966908550566	-0.07049330062367172	-0.0284060375473396	CD52
ENSG00000109475	4.337481487105414e-06	0.00010843703717763535	0.05329832319150513	0.030561930355990193	0.07603471602702007	RPL34
ENSG00000255823	5.100608330692079e-06	0.00012144305549266853	0.04067405899699758	0.023193995627881433	0.058154122366113725	MTRNR2L8
ENSG00000204287	7.177880652448224e-06	0.0001631336511920051	-0.05399446657214904	-0.07757269482375612	-0.030416238320541963	HLA-DRA
ENSG00000281383	8.543975435230871e-06	0.00018573859641806241	0.04823381895597723	0.026994802487304237	0.06947283542465023	FP671120.5
ENSG00000167995	1.1003955810337358e-05	0.00022924907938202827	-0.048185694220692694	-0.06966720523548464	-0.02670418320590074	BEST1
ENSG00000170421	1.157948203695696e-05	0.0002315896407391392	-0.05511328035250389	-0.07974525522175087	-0.03048130548325691	KRT8
ENSG00000224389	1.3977520115835084e-05	0.0002687984637660593	0.04494691248460563	0.024668369713452758	0.06522545525575851	C4B
ENSG00000143546	1.664821301490638e-05	0.00030830024101678483	-0.045658978527336185	-0.06644319618687392	-0.02487476086779846	S100A8
ENSG00000141736	2.450896613555677e-05	0.00043766010956351373	-0.03602755178398464	-0.05276329699549382	-0.019291806572475458	ERBB2
ENSG00000111341	2.8677928890162295e-05	0.0004944470498303844	-0.03643041344848457	-0.053497120888486044	-0.019363706008483098	MGP
ENSG00000123384	2.979710357826656e-05	0.0004966183929711093	0.05097238954370804	0.027043342079436643	0.07490143700797944	LRP1
ENSG00000142669	3.5239111617017955e-05	0.0005683727680164186	-0.039104252225877614	-0.05763196467405267	-0.020576539777702563	SH3BGRL3
ENSG00000129538	5.5767534056866665e-05	0.0008713677196385416	0.04041935892307593	0.020761861228588637	0.06007685661756322	RNASE1
ENSG00000251562	6.320964182990823e-05	0.0009577218459077004	0.04475129416675888	0.022826286049044974	0.06667630228447279	MALAT1
ENSG00000254709	8.282700384798364e-05	0.0012180441742350534	0.029892549501221083	0.015007568227576346	0.04477753077486582	IGLL5
ENSG00000108821	0.00010787531393326826	0.0015410759133324037	-0.0432767434297028	-0.06518205447401251	-0.02137143238539309	COL1A1
ENSG00000117450	0.00012481325691862509	0.0017335174572031262	-0.04179265690886521	-0.06314353696665945	-0.020441776851070965	PRDX1
ENSG00000067225	0.0001309481490361372	0.0017695695815694217	-0.04891379171113133	-0.07397982540453205	-0.023847758017730626	PKM
ENSG00000196126	0.0001443235930756594	0.0018989946457323606	-0.050444436725677375	-0.07645829554831442	-0.024430577903040332	HLA-DRB1
ENSG00000117410	0.00016128418160935113	0.0020677459180686044	-0.03579199337320036	-0.0543848027819059	-0.01719918396449482	ATP6V0B
ENSG00000245532	0.00016715960976432847	0.0020894951220541058	0.052739864214723035	0.02527815240803342	0.08020157602141265	NEAT1
ENSG00000169692	0.00019915176334908344	0.0024286800408424808	-0.03936864389696715	-0.06011037951709582	-0.018626908276838473	AGPAT2
ENSG00000149131	0.00025892998321389314	0.0030824998001653943	0.04465046745789808	0.020695625802164545	0.06860530911363161	SERPING1
ENSG00000107317	0.0002788953202793261	0.0032429688404572803	0.04437507533413263	0.020442800272412513	0.06830735039585276	PTGDS
ENSG00000075624	0.0004389878551712319	0.004988498354218544	-0.02928932168863147	-0.045618896186248065	-0.012959747191014882	ACTB
ENSG00000110492	0.00048517881804997136	0.005390875756110793	-0.03233829675312038	-0.05050550172727664	-0.01417109177896412	MDK
ENSG00000104904	0.0005130046023845993	0.005457495770048929	-0.033934690468251684	-0.0530806924489327	-0.014788688487570666	OAZ1
ENSG00000134871	0.0005073725437142377	0.005457495770048929	-0.04495639921558855	-0.07029926364707019	-0.01961353478410691	COL4A2
ENSG00000012223	0.0006027043854190331	0.006278170681448261	0.03484600192935076	0.014936656339228364	0.054755347519473155	LTF
ENSG00000175166	0.0006745295452448915	0.006882954543315219	-0.04592864654280556	-0.07240679336079604	-0.01945049972481508	PSMD2
ENSG00000177697	0.0007319086339670696	0.007175574842814408	0.03939162936296358	0.016531566600698537	0.06225169212522862	CD151
ENSG00000130592	0.0007305193584903281	0.007175574842814408	-0.04464057932398401	-0.0705427469361082	-0.018738411711859828	LSP1
ENSG00000154096	0.0008099607478257164	0.007788084113708811	-0.046811138200867505	-0.07420381016401324	-0.019418466237721765	THY1
ENSG00000198034	0.0008285648426853213	0.007816649459295484	0.029984265680954702	0.012405198922463025	0.04756333243944638	RPS4X
ENSG00000133110	0.0008465904927608299	0.007838800858896574	-0.0640232714343974	-0.10162583041816828	-0.026420712450626528	POSTN
__ambiguous[ENSG00000177576+ENSG00000265681+ENSG00000215472]	0.0008818337694618622	0.008016670631471474	0.04033535912716998	0.016564471000295188	0.06410624725404476	None
ENSG00000115457	0.0009168292981765188	0.008185975876576062	-0.030776186078267417	-0.04897299610920184	-0.012579376047332995	IGFBP2
ENSG00000134824	0.001103777069110408	0.00968225499219656	-0.050019323151889485	-0.08006735876534006	-0.01997128753843891	FADS2
ENSG00000177556	0.001364629322436197	0.011676383584752785	-0.04264382957665905	-0.06874613911724656	-0.01654152003607153	ATOX1
ENSG00000140264	0.0013854466419975142	0.011676383584752785	-0.02773812910114155	-0.04473982180637427	-0.010736436395908829	SERF2
ENSG00000182492	0.001401166030170334	0.011676383584752785	-0.03269430991333449	-0.05275424427213125	-0.012634375554537731	BGN
ENSG00000241553	0.0014966084665583804	0.012137973621092257	-0.03587870355711418	-0.058024665529398126	-0.013732741584830229	ARPC4
ENSG00000105373	0.0015051087290154398	0.012137973621092257	0.03126568850434004	0.011957093833180304	0.05057428317549978	NOP53
ENSG00000042493	0.0018262342334993877	0.014493922488090378	-0.03996165208725719	-0.06508845020247661	-0.014834853972037761	CAPG
ENSG00000143556	0.0019355574554804173	0.01512154262094076	-0.03138792560037858	-0.05123317393963974	-0.011542677261117414	S100A7
ENSG00000162511	0.002027517926022682	0.015596291738636015	-0.030538385525784775	-0.04993268501785743	-0.011144086033712117	LAPTM5
ENSG00000130208	0.0021096503216001842	0.015982199406062002	-0.03939722492950702	-0.06451383739555759	-0.014280612463456448	APOC1
ENSG00000141526	0.002735694692531056	0.020415632033813847	-0.04723036903689593	-0.07812843835739959	-0.01633229971639227	SLC16A3
ENSG00000138326	0.0029696943655198697	0.021816372446007846	0.03338889666425708	0.01136123879966524	0.05541655452884892	RPS24
ENSG00000179218	0.003010659397549083	0.021816372446007846	-0.026260544353639233	-0.04361000081567967	-0.008911087891598793	CALR
ENSG00000019582	0.003056152734917804	0.021829662392270025	-0.025794019990602213	-0.042861809052064964	-0.008726230929139458	CD74
ENSG00000013364	0.003128255078259461	0.02202996533985536	-0.040688710008346	-0.06767773599735087	-0.013699684019341133	MVP
ENSG00000157227	0.003200257864703641	0.02222401294933084	-0.03541803309616138	-0.05896700312380501	-0.011869063068517746	MMP14
