	pval	adjpval	beta	ci_low	ci_high	symbol
ENSG00000189058	4.71686767231438e-32	2.35843383615719e-29	0.15512029678347702	0.1293201606802501	0.18092043288670395	APOD
ENSG00000115414	1.8838094334020895e-25	4.7095235835052234e-23	-0.0792848026393416	-0.09418919831569053	-0.06438040696299266	FN1
ENSG00000164692	1.638845532265061e-19	2.7314092204417683e-17	-0.06788619762849349	-0.08261263308215415	-0.05315976217483283	COL1A2
ENSG00000107485	2.940718836583268e-19	3.675898545729085e-17	-0.07432562208251059	-0.0905642785227355	-0.05808696564228567	GATA3
ENSG00000108821	2.4407167184583945e-17	2.4407167184583944e-15	-0.05726049915577701	-0.07050963537580447	-0.04401136293574954	COL1A1
ENSG00000148180	5.3633426400122524e-17	4.46945220001021e-15	0.07853159720846409	0.06016074456418887	0.0969024498527393	GSN
ENSG00000169710	2.821992380472102e-16	2.0157088431943584e-14	-0.056386170418762926	-0.06989538853986067	-0.04287695229766518	FASN
ENSG00000229117	7.234369342755678e-16	4.521480839222298e-14	0.06448478715915812	0.04881654157492578	0.08015303274339046	RPL41
ENSG00000168542	1.0161015502992224e-15	5.080507751496112e-14	-0.06452513364078681	-0.08028445352280411	-0.04876581375876951	COL3A1
ENSG00000197766	9.867458898950691e-16	5.080507751496112e-14	0.0787003132848012	0.05948752749319686	0.09791309907640555	CFD
ENSG00000141424	3.209010883566073e-15	1.3696323617686835e-13	-0.06144271769951902	-0.07672030094321215	-0.046165134455825894	SLC39A6
ENSG00000204287	3.2871176682448406e-15	1.3696323617686835e-13	0.05883559132121244	0.0442006854854493	0.07347049715697558	HLA-DRA
ENSG00000026025	8.812633462150952e-15	3.389474408519597e-13	0.06111046364866399	0.0456663005744522	0.07655462672287577	VIM
ENSG00000138434	1.4086914817535188e-14	5.031041006262567e-13	-0.06945218440293814	-0.0871407831799491	-0.051763585625927186	ITPRID2
ENSG00000125730	1.868631889946624e-14	5.839474656083201e-13	0.053086783051383264	0.03950233282801225	0.06667123327475427	C3
ENSG00000204592	1.8274912250300807e-14	5.839474656083201e-13	0.05423837664396977	0.04036442198191647	0.06811233130602307	HLA-E
ENSG00000265972	7.245296047675152e-14	2.130969425786809e-12	0.06707153778387644	0.04950482739982712	0.08463824816792576	TXNIP
ENSG00000133110	3.804829935406825e-12	1.0568972042796737e-10	-0.057187036201400664	-0.07332766650759645	-0.04104640589520488	POSTN
ENSG00000111341	6.7749332118771834e-12	1.7828771610203114e-10	0.05611669374343536	0.04008907632665985	0.07214431116021086	MGP
ENSG00000231389	1.3725358261656674e-11	3.4313395654141687e-10	0.05525626836133581	0.03923735590860877	0.07127518081406285	HLA-DPA1
ENSG00000117335	3.391148890311446e-11	8.074164024551061e-10	-0.060631398783587746	-0.07855933966259769	-0.0427034579045778	CD46
ENSG00000091831	7.964775695990174e-11	1.8101762945432215e-09	-0.05503646890692848	-0.07162854884919997	-0.03844438896465699	ESR1
ENSG00000205542	8.335890154803542e-11	1.812150033652944e-09	0.051792444843197456	0.03616187775132231	0.06742301193507261	TMSB4X
ENSG00000170458	2.1093965382452988e-10	4.394576121344373e-09	0.05349792257765273	0.03699368781451382	0.07000215734079163	CD14
ENSG00000019582	3.8895978237485397e-10	7.779195647497079e-09	0.0416097674166631	0.028578687355598365	0.054640847477727836	CD74
ENSG00000184292	4.3201034547072313e-10	8.307891259052368e-09	-0.05600562972139147	-0.07359118135876412	-0.038420078084018816	TACSTD2
ENSG00000163453	2.956936360929446e-09	5.475808075795271e-08	0.053017974136590415	0.03550637600013583	0.070529572273045	IGFBP7
ENSG00000166509	5.010528239321102e-09	8.947371855930539e-08	-0.04940726762604752	-0.06596950661272821	-0.03284502863936682	CLEC3A
ENSG00000196126	5.680833719759732e-09	9.794540896137468e-08	0.05077737756769201	0.033694700648318074	0.06786005448706595	HLA-DRB1
ENSG00000113739	7.819978164416536e-09	1.3033296940694226e-07	-0.048060650256500546	-0.06437949209679295	-0.03174180841620814	STC2
ENSG00000251562	2.431718286355221e-08	3.922126268314873e-07	-0.03967913463248631	-0.05362112100419031	-0.025737148260782314	MALAT1
ENSG00000075624	5.337668015944883e-08	8.340106274913879e-07	0.0355915928165992	0.022767630024627776	0.04841555560857063	ACTB
ENSG00000142534	8.55532760803896e-08	1.292420404997082e-06	0.034886173553592914	0.022117628462934205	0.04765471864425162	RPS11
ENSG00000152518	8.788458753980158e-08	1.292420404997082e-06	0.04572365752889194	0.028973317197457143	0.06247399786032673	ZFP36L2
ENSG00000175899	1.0641064218245047e-07	1.5201520311778638e-06	0.04440066316862671	0.02802873507298988	0.06077259126426354	A2M
ENSG00000142937	2.2903640472451625e-07	3.1810611767293925e-06	0.03542078852880119	0.022003240523723815	0.04883833653387857	RPS8
ENSG00000105664	2.3552209198436597e-07	3.1827309727617026e-06	-0.04817879577789819	-0.066447552207035	-0.029910039348761377	COMP
ENSG00000122566	2.823768263374762e-07	3.715484557072055e-06	-0.044668153897735735	-0.061717933375548026	-0.02761837441992344	HNRNPA2B1
ENSG00000011465	4.1166075726086165e-07	5.277702016164893e-06	0.043273548705884075	0.026523307179037604	0.06002379023273055	DCN
ENSG00000197956	5.035260414340559e-07	6.294075517925699e-06	0.04207189257557741	0.025661946488082458	0.05848183866307237	S100A6
ENSG00000245532	5.931178793274428e-07	7.233144869846863e-06	-0.040993465528036795	-0.05708370414889066	-0.024903226907182927	NEAT1
__ambiguous[ENSG00000254772+ENSG00000255508]	7.238728320777926e-07	8.617533715211816e-06	0.034842123892327936	0.021059799211480892	0.04862444857317498	None
ENSG00000159763	8.206870887419165e-07	9.542873124906007e-06	0.046146175984719214	0.02780178984211396	0.06449056212732447	PIP
